iter	Logloss
0	0.6866548132
1	0.680882279
2	0.6751429936
3	0.6697297995
4	0.6645215774
5	0.659828005
6	0.6559089717
7	0.6519320086
8	0.648219706
9	0.6447400023
10	0.6413344743
11	0.6384211173
12	0.6355606786
13	0.6325124979
14	0.6295998856
15	0.6270894805
16	0.6246451399
17	0.6221641879
18	0.6202828007
19	0.618231457
20	0.6164763285
21	0.614642389
22	0.6131077682
23	0.611273837
24	0.6094862266
25	0.6077418097
26	0.606549362
27	0.6055271989
28	0.604211757
29	0.6035094542
30	0.6025078244
31	0.6014203681
32	0.6005990711
33	0.5994931136
34	0.5986468759
35	0.5974293609
36	0.5966981987
37	0.5959733864
38	0.5953426146
39	0.5947067893
40	0.593816083
41	0.5933094115
42	0.592628723
43	0.5921865825
44	0.5918713323
45	0.5912445239
46	0.5907793957
47	0.5902096458
48	0.5897149814
49	0.5892187213
50	0.5885479369
51	0.588044534
52	0.5875504564
53	0.5869757545
54	0.5865713189
55	0.5861018067
56	0.5857363866
57	0.585289878
58	0.5849110472
59	0.5846716342
60	0.5845446473
61	0.5841439149
62	0.5838228841
63	0.5834448149
64	0.5832421082
65	0.5828624226
66	0.5825711966
67	0.5822452338
68	0.5820249349
69	0.5816643849
70	0.5813661709
71	0.5809960033
72	0.5807076787
73	0.5804253863
74	0.5800267233
75	0.5797614449
76	0.5794171837
77	0.5791918019
78	0.5789759716
79	0.578766818
80	0.5786288237
81	0.5785123248
82	0.5783594793
83	0.5781920629
84	0.5778386154
85	0.5774779093
86	0.5773040786
87	0.5771061136
88	0.5768283846
89	0.5767004271
90	0.5765534438
91	0.5762540878
92	0.5760085856
93	0.575787545
94	0.5754907407
95	0.5752204991
96	0.5748657465
97	0.5746534312
98	0.5744322584
99	0.5742317676
100	0.5740470091
101	0.5739373054
102	0.5736919742
103	0.5735324615
104	0.5733612491
105	0.5731179195
106	0.5729162487
107	0.5729028622
108	0.5727760145
109	0.5726512798
110	0.5725597802
111	0.5723246629
112	0.5722444264
113	0.5721317762
114	0.5719301073
115	0.5716909074
116	0.57163033
117	0.5715078709
118	0.5713425671
119	0.5711550468
120	0.5710131196
121	0.5709184778
122	0.5707328649
123	0.570534714
124	0.5705314591
125	0.5702578524
126	0.5700808261
127	0.5698745635
128	0.569680633
129	0.5696407118
130	0.5695680684
131	0.5694481553
132	0.5692561348
133	0.5691939372
134	0.5690925739
135	0.5689127155
136	0.5687511626
137	0.5686289291
138	0.5685583331
139	0.5685579937
140	0.5684537464
141	0.5684534524
142	0.568405242
143	0.5682387717
144	0.5680770424
145	0.5679391248
146	0.5677644379
147	0.5676622763
148	0.5674299282
149	0.5673727909
150	0.5672100043
151	0.5671610881
152	0.5670344155
153	0.5669354342
154	0.5668658727
155	0.5667162678
156	0.5665480359
157	0.5664784071
158	0.5663450505
159	0.5661582965
160	0.5659782611
161	0.5658505902
162	0.5656602394
163	0.5655960952
164	0.5654190605
165	0.5652156783
166	0.5650604159
167	0.5649741642
168	0.5648239646
169	0.5646376387
170	0.5644850614
171	0.5643684866
172	0.5642895714
173	0.5641680437
174	0.564062827
175	0.5639063444
176	0.5638622776
177	0.5637835846
178	0.563747956
179	0.5636163566
180	0.5635344908
181	0.5633282562
182	0.5632589418
183	0.5630807225
184	0.5629388513
185	0.5629233814
186	0.5628171802
187	0.5627761707
188	0.562596959
189	0.5624415088
190	0.5624020708
191	0.5623317267
192	0.5622929255
193	0.5620999314
194	0.5620866286
195	0.5618513038
196	0.5618216512
197	0.56174001
198	0.5616376136
199	0.5614913949
200	0.5613901689
201	0.5613350365
202	0.561121781
203	0.5610658141
204	0.5609563275
205	0.5608302327
206	0.5607828599
207	0.5606978694
208	0.56056654
209	0.5604974679
210	0.560303576
211	0.5601442172
212	0.5600453193
213	0.5598951238
214	0.5598630771
215	0.5597581362
216	0.5597262181
217	0.5597030528
218	0.5596292443
219	0.5595810229
220	0.5595285002
221	0.5593569139
222	0.5592559692
223	0.559195465
224	0.5590908945
225	0.5590158911
226	0.5589135443
227	0.5588062557
228	0.5587366057
229	0.5586103587
230	0.5586101145
231	0.5585593249
232	0.558495107
233	0.5584213265
234	0.5582827074
235	0.5582827044
236	0.5581008911
237	0.5580411874
238	0.5580029472
239	0.5578927869
240	0.5577840215
241	0.5577835771
242	0.557678348
243	0.5575314079
244	0.5574949402
245	0.5573695417
246	0.5573016083
247	0.5572412274
248	0.5571445913
249	0.5570777239
250	0.557001389
251	0.5569237995
252	0.5568542409
253	0.5567409614
254	0.5566754833
255	0.5566277591
256	0.5564081081
257	0.5564079198
258	0.5563150851
259	0.5563131406
260	0.5562232219
261	0.5561960057
262	0.5561364286
263	0.5560533476
264	0.5559305074
265	0.5557681801
266	0.5555910469
267	0.5554711428
268	0.5553894307
269	0.5552326039
270	0.5551427181
271	0.5550384524
272	0.5549594706
273	0.554840725
274	0.5546869291
275	0.5546342359
276	0.5544551031
277	0.5544166554
278	0.5542639392
279	0.5541215707
280	0.5540132924
281	0.5539595787
282	0.5539129215
283	0.5538045725
284	0.55366259
285	0.5534966188
286	0.5534425262
287	0.5533957419
288	0.553191973
289	0.5531568892
290	0.5531185795
291	0.5531048989
292	0.553051497
293	0.5529333504
294	0.5528586941
295	0.5527408565
296	0.5526307201
297	0.5525873685
298	0.5525134373
299	0.5524367271
300	0.5523292927
301	0.5521492715
302	0.5520832067
303	0.5519425223
304	0.5517389415
305	0.5516751928
306	0.5515805662
307	0.5514797758
308	0.5513451073
309	0.5512804391
310	0.5511870367
311	0.5510897728
312	0.5509372189
313	0.5509041819
314	0.5508236079
315	0.5507100852
316	0.5506944501
317	0.5506147425
318	0.5505500511
319	0.5505067505
320	0.5504234623
321	0.5503476051
322	0.5502875044
323	0.5501782274
324	0.5500449956
325	0.5498837443
326	0.5497596685
327	0.5496922554
328	0.5496142965
329	0.5493615153
330	0.5493027553
331	0.5491499426
332	0.5490573388
333	0.5489202979
334	0.5488470197
335	0.5487479281
336	0.548637469
337	0.5485564417
338	0.5484187567
339	0.5483094707
340	0.5482827791
341	0.5482147857
342	0.548145423
343	0.5480926908
344	0.547984724
345	0.5478805365
346	0.5478086609
347	0.5477190403
348	0.5475905957
349	0.5475853598
350	0.5475292392
351	0.5475207085
352	0.5474894248
353	0.5473817238
354	0.547312904
355	0.5472190189
356	0.5470640715
357	0.5469861972
358	0.5468841687
359	0.5467069362
360	0.5466410435
361	0.5466045215
362	0.5464812675
363	0.5463829241
